Order Date,Ship Date,Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Year,Month,Month_Name,Sales_log
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,42420.0,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2017,11,Nov,5.572001929355964
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,42420.0,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017,11,Nov,6.597063843147503
2017-06-12,2017-06-16,Second Class,Corporate,Los Angeles,California,90036.0,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017,6,Jun,2.7485521444115397
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,33311.0,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016,10,Oct,6.86545041472046
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,33311.0,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2016,10,Oct,3.15136756508544
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015,6,Jun,3.9092190780954117
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Art,Newell 322,7.28,2015,6,Jun,2.1138429683971687
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,2015,6,Jun,6.8114117654723865
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015,6,Jun,2.970619572738916
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015,6,Jun,4.752727750345706
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6,Jun,7.442600508432343
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,90032.0,West,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,2015,6,Jun,6.816104794316803
2018-04-15,2018-04-20,Standard Class,Consumer,Concord,North Carolina,28027.0,South,Office Supplies,Paper,Xerox 1967,15.552,2018,4,Apr,2.8065069404432417
2017-12-05,2017-12-10,Standard Class,Consumer,Seattle,Washington,98103.0,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,12,Dec,6.0136564746144785
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,76106.0,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,11,Nov,4.24577726598231
